Month,Temp,MaxTemp,MaxTempDate,MinTemp,MinTempDate,MoyTempMax,MoyTempMin
1,6.3,21.2,15-1955,-18.6,16-1985,9.7,2.9
2,7.1,24.1,27-2019,-19.2,15-1956,11.2,3.1
3,10.3,27.1,21-1990,-8.4,01-2005,15,5.5
4,12.7,30,13-1949,-3,13-1958,17.6,7.9
5,16.4,33.4,18-2022,-0.8,01-1960,21.4,11.4
6,20.3,40.2,27-2019,4,02-1962,25.7,15
7,22.6,40.2,8-1982,7.6,08-1954,28.2,17
8,22.8,40.7,4-2003,5.5,30-1986,28.5,17.1
9,19.3,35.3,8-1966,1.9,27-1972,24.8,13.9
10,15.3,30.8,2-2011,-3,29-1949,19.7,10.9
11,9.9,24.3,1-1968,-7.5,23-1988,13.5,6.3
12,7,21.1,17-1987,-12,28-1962,10.4,3.6
All,14.2,40.7,2003,-19.2,1956,18.8,9.6
